PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-10-31,12:00:53.60,1,1,"Tedesco, Jake",803230,Left,MIA_RED,"Krupinski, Dom",702597,Left,MIA_RED,Undefined,1,Top,0,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,79.06358,0.693877,0.940165,2206.340438,323.82785,4:45,6.50276,-1.39383,5.53873,-47.65798,-2.28807,2.72626,3.1799,-0.28786,72.50976,-8.012979,1.426959,0.484792,,,,,,,,,,,,-1.10272,-0.88169,1.31049,50,6.53143,-1.99159,-114.7951,-0.22677,-1.46705,21.84899,-33.34706,MIA_RED,MIA_RED,McKieFieldStad,TeamExclusive,Team,20251031-McKieFieldStad-Private-1,c7bf85f0-b672-11f0-8a07-17c2357ed222,77.74973,,,6.55382,,,,,,,4ba3adc6-5d81-4936-b0af-135018c654d9,2025-10-31,16:00:53.60,2025-10-31T12:00:53.6064512-04:00,2025-10-31T16:00:53.6064512Z,,v3,471355,471355,,,,Undefined,MIA_RED,e1b7e062-5553-4664-b6c5-930e4732c9fa,54.95926,-115.73514,10.9245,6.51033,1.20798,-16.67353,1.39482,-1.92847,-0.73352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-10-31,12:01:10.56,1,2,"Tedesco, Jake",803230,Left,MIA_RED,"Krupinski, Dom",702597,Left,MIA_RED,Undefined,1,Top,0,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.82062,-3.28187,3.011082,2194.384945,143.909191,10:45,6.37297,-0.80704,6.50014,-13.06548,19.68832,-13.5178,2.26445,0.83274,83.28624,-5.835626,0.560731,0.41191,,,,,,,,,,,,7.94697,11.61682,0.60155,50,6.1368,-6.44545,-133.0533,-7.93213,14.12731,30.76847,-11.52284,MIA_RED,MIA_RED,McKieFieldStad,TeamExclusive,Team,20251031-McKieFieldStad-Private-1,d1ec59e0-b672-11f0-8a07-17c2357ed222,91.50646,,,8.53438,,,,,,,4ba3adc6-5d81-4936-b0af-135018c654d9,2025-10-31,16:01:10.56,2025-10-31T12:01:10.5648128-04:00,2025-10-31T16:01:10.5648128Z,,v3,471355,471355,,,,Undefined,MIA_RED,99fcb3a8-3495-417b-9e58-6607c20287cb,53.99616,-133.97422,15.38423,6.36906,-7.58724,-5.76142,0.80079,-6.86829,7.06366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-10-31,12:01:31.86,1,3,"Tedesco, Jake",803230,Left,MIA_RED,"Krupinski, Dom",702597,Left,MIA_RED,Undefined,1,Top,0,0,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,81.93035,-0.987011,1.259924,2352.072222,320.66687,4:45,6.64696,-1.17021,5.16567,-44.31617,-1.27713,2.2124,2.02472,0.20011,75.02021,-9.015057,1.65256,0.472175,,,,,,,,,,,,-0.72614,0.09929,1.05101,50,6.52117,-2.70702,-118.80975,-3.67821,-1.03088,24.2077,-32.03308,MIA_RED,MIA_RED,McKieFieldStad,TeamExclusive,Team,20251031-McKieFieldStad-Private-1,dea4bab0-b672-11f0-8a07-17c2357ed222,79.82731,,,6.91014,,,,,,,4ba3adc6-5d81-4936-b0af-135018c654d9,2025-10-31,16:01:31.86,2025-10-31T12:01:31.8610000-04:00,2025-10-31T16:01:31.8610000Z,,v3,471355,471355,,,,Undefined,MIA_RED,fee5197b-f444-42a2-867e-9be4bf745e8b,55.33167,-119.89117,12.10385,6.65352,-2.24722,-16.01654,1.17091,-2.66097,-0.51544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.18297,2.925424,1.988608,0.936816,-0.89655,1.64982,-0.26719,-1.57025,4.62834,-3.9002,74.34778,7.33435,-50.42789,-1.53847,85.63343,-4.93726,4.655,15.75724,-13.76307,-3.96157,-56.11358,6.94517,High,High,High,,,High,High,High
4,2025-10-31,12:01:57.87,2,1,"Tedesco, Jake",803230,Left,MIA_RED,"Kirtley, Ryder",827333,Right,MIA_RED,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.26118,-4.29746,2.327141,2167.491003,155.164657,11:15,6.48333,-1.02752,6.41969,-9.92772,22.70789,-9.96934,1.69488,0.28211,83.57298,-6.278458,0.522085,0.411166,,,,,,,,,,,,5.86831,13.46146,0.86542,50,6.17089,-5.00826,-133.55407,-10.20997,10.49738,31.33943,-8.09386,MIA_RED,MIA_RED,McKieFieldStad,TeamExclusive,Team,20251031-McKieFieldStad-Private-1,ee21e0d0-b672-11f0-8a07-17c2357ed222,91.67209,,,8.6882,,,,,,,4ba3adc6-5d81-4936-b0af-135018c654d9,2025-10-31,16:01:57.87,2025-10-31T12:01:57.8724864-04:00,2025-10-31T16:01:57.8724864Z,,v3,471355,471355,,,,Undefined,MIA_RED,75706ea6-62c5-418a-873f-5c746c856d26,54.07555,-134.50703,15.66971,6.47761,-9.96386,-4.04693,1.02257,-5.32746,5.24869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-10-31,12:02:13.66,2,2,"Tedesco, Jake",803230,Left,MIA_RED,"Kirtley, Ryder",827333,Right,MIA_RED,Undefined,1,Top,1,0,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.16315,-2.840782,0.966894,2085.4172,154.413793,11:15,6.53881,-0.88141,6.40463,-9.93449,23.46789,-10.66079,3.09628,-0.88065,82.30852,-4.838839,-0.964659,0.415968,,,,,,,,,,,,5.81382,13.43375,0.81645,50,6.33008,-1.78519,-132.2174,-6.71558,10.15825,31.59624,-8.7018,MIA_RED,MIA_RED,McKieFieldStad,TeamExclusive,Team,20251031-McKieFieldStad-Private-1,f7a49210-b672-11f0-8a07-17c2357ed222,90.61375,,,8.85463,,,,,,,4ba3adc6-5d81-4936-b0af-135018c654d9,2025-10-31,16:02:13.66,2025-10-31T12:02:13.6655872-04:00,2025-10-31T16:02:13.6655872Z,,v3,471355,471355,,,,Undefined,MIA_RED,f39c41eb-f07a-4943-aee2-9ffa9badcff8,54.09006,-133.19122,15.79812,6.53293,-6.44739,-4.3509,0.87629,-2.09828,5.07912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-10-31,12:02:31.95,2,3,"Tedesco, Jake",803230,Left,MIA_RED,"Kirtley, Ryder",827333,Right,MIA_RED,Undefined,1,Top,1,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.34566,-1.653428,0.661629,2114.313073,150.883701,11:00,6.61577,-0.92021,6.34623,-12.44528,21.55478,-11.33764,4.0561,-1.25594,81.63363,-4.108555,-1.390643,0.419673,,,,,,,,,,,,6.05544,12.04442,0.8769,50,6.48936,-1.04117,-131.14313,-4.0425,10.41865,30.85388,-11.45117,MIA_RED,MIA_RED,McKieFieldStad,TeamExclusive,Team,20251031-McKieFieldStad-Private-1,024f2180-b673-11f0-8a07-17c2357ed222,89.81374,,,8.71203,,,,,,,4ba3adc6-5d81-4936-b0af-135018c654d9,2025-10-31,16:02:31.95,2025-10-31T12:02:31.9557632-04:00,2025-10-31T16:02:31.9557632Z,,v3,471355,471355,,,,Undefined,MIA_RED,99bf3019-923e-4ffe-aa99-a32d9cfb1d8e,54.14848,-132.11554,15.42694,6.61108,-3.6816,-5.72559,0.91489,-1.36953,5.20932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-10-31,12:02:50.03,2,4,"Tedesco, Jake",803230,Left,MIA_RED,"Kirtley, Ryder",827333,Right,MIA_RED,Undefined,1,Top,1,1,2,ChangeUp,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,83.81367,-1.185014,1.929808,1594.562877,111.021665,9:45,6.09682,-1.43542,6.28865,-31.35451,7.9741,-17.39249,2.39113,-1.10573,76.59627,-7.046455,-1.217909,0.451363,,,,,,,,,,,,9.54138,4.90268,1.30098,50,5.99463,-3.43314,-121.7353,-3.46412,14.24776,24.99319,-24.8531,MIA_RED,MIA_RED,McKieFieldStad,TeamExclusive,Team,20251031-McKieFieldStad-Private-1,0d6f0800-b673-11f0-8a07-17c2357ed222,83.50808,,,7.2174,,,,,,,4ba3adc6-5d81-4936-b0af-135018c654d9,2025-10-31,16:02:50.03,2025-10-31T12:02:50.0350000-04:00,2025-10-31T16:02:50.0350000Z,,v3,471355,471355,,,,Undefined,MIA_RED,76e1086f-1b32-427d-bf5a-855c828c1667,54.20855,-122.5963,12.49659,6.09922,-2.60794,-12.42655,1.4277,-3.92397,7.12388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.91329,2.363958,1.187738,1.176221,-3.00144,1.82345,1.20987,-5.96761,3.12197,2.18808,73.90408,8.17962,50.87385,-5.8841,74.24388,-5.43096,3.20398,22.52132,-15.53012,2.1835,42.50583,-0.94516,High,High,High,,,High,High,High
8,2025-10-31,12:03:16.54,3,1,"Tedesco, Jake",803230,Left,MIA_RED,"Appelwick, Evan",695485,Right,MIA_RED,Undefined,1,Top,2,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,78.64672,3.418239,1.026891,2201.477998,316.300466,4:30,6.61469,-1.31063,5.34232,-48.24066,-1.36697,2.89036,5.80546,-0.10638,70.84802,-5.428901,1.539772,0.492761,,,,,,,,,,,,-1.10138,-1.18154,1.21601,50,6.88926,-2.16014,-113.7841,5.12032,-1.42424,23.5321,-33.70196,MIA_RED,MIA_RED,McKieFieldStad,TeamExclusive,Team,20251031-McKieFieldStad-Private-1,1cff19e0-b673-11f0-8a07-17c2357ed222,76.4924,,,7.79869,,,,,,,4ba3adc6-5d81-4936-b0af-135018c654d9,2025-10-31,16:03:16.54,2025-10-31T12:03:16.5465600-04:00,2025-10-31T16:03:16.5465600Z,,v3,471355,471355,,,,Undefined,MIA_RED,853128db-4544-4573-a137-692e82d9ee37,55.15216,-114.8447,11.76605,6.62426,6.63927,-16.85098,1.31192,-2.09595,-0.71212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-10-31,12:03:32.07,3,2,"Tedesco, Jake",803230,Left,MIA_RED,"Appelwick, Evan",695485,Right,MIA_RED,Undefined,1,Top,2,1,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,83.39908,-1.38791,3.045091,1584.754709,109.831184,9:45,6.05815,-1.5742,6.14318,-31.9597,8.19847,-18.91123,2.11024,-0.33357,75.90782,-7.353037,-0.364972,0.456098,,,,,,,,,,,,10.61965,5.08992,1.35121,50,5.93609,-5.69244,-120.95262,-3.91634,15.5981,25.46428,-24.69801,MIA_RED,MIA_RED,McKieFieldStad,TeamExclusive,Team,20251031-McKieFieldStad-Private-1,262b6dc0-b673-11f0-8a07-17c2357ed222,82.64103,,,7.49126,,,,,,,4ba3adc6-5d81-4936-b0af-135018c654d9,2025-10-31,16:03:32.07,2025-10-31T12:03:32.0797696-04:00,2025-10-31T16:03:32.0797696Z,,v3,471355,471355,,,,Undefined,MIA_RED,3b827666-2651-406a-a30e-d47c9b42cf15,54.35361,-121.86574,12.73214,6.06064,-3.03069,-12.349,1.56536,-6.25178,7.79905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-10-31,12:03:48.20,3,3,"Tedesco, Jake",803230,Left,MIA_RED,"Appelwick, Evan",695485,Right,MIA_RED,Undefined,1,Top,2,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.79745,-3.694805,4.12299,1578.941941,120.768874,10:00,6.07089,-1.44745,6.12887,-27.75482,11.00634,-16.37603,0.32915,1.00547,77.92919,-8.847541,1.175227,0.448095,,,,,,,,,,,,9.6167,7.09819,1.14031,50,5.77308,-8.21649,-122.72635,-8.79167,14.67253,24.2023,-21.3441,MIA_RED,MIA_RED,McKieFieldStad,TeamExclusive,Team,20251031-McKieFieldStad-Private-1,2ff75d00-b673-11f0-8a07-17c2357ed222,84.11713,,,6.86826,,,,,,,4ba3adc6-5d81-4936-b0af-135018c654d9,2025-10-31,16:03:48.20,2025-10-31T12:03:48.2088448-04:00,2025-10-31T16:03:48.2088448Z,,v3,471355,471355,,,,Undefined,MIA_RED,1b6f9caa-4251-45df-83f4-137ec8e5bb5c,54.36978,-123.58509,12.10115,6.07158,-8.03434,-10.67205,1.44109,-8.7371,7.33626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
